TFM-CinemaxxMercadoEstacaoPetropolis-TMS;10.229.240.1
TFM-TopCineHipershoppingABCPetropolis-TMS;10.229.242.1
AGA-DuplexAmparo-TMS;10.230.16.1
AGA-CenterCineMogiMirimMogiMirim-TMS;10.230.20.1
ITA-TopCineItatiba-TMS;10.230.32.1
TCP-TopCinePaulinea-TMS;10.230.48.1
CMA-MonteAltoMonteAlto-TMS;10.230.64.1
CTB-CinePlazaBarbacena-TMS;10.230.80.1
CNP-AguaVerdeCuritiba-TMS;10.230.96.1
CNP-CampoLargoCampoLargo-TMS;10.230.98.1
CNP-JardimAmericaCuritiba-TMS;10.230.100.1
CNP-CastroCastro-TMS;10.230.102.1
CVC-VitoriaVitoria-TMS;10.230.112.1
CVC-AraruamaAraruama-TMS;10.230.114.1
CVC-RiodasOstrasRiodasOstras-TMS;10.230.116.1
CEC-JandiraJandira-TMS;10.230.128.1
CEC-PortoFelizPortoFeliz-TMS;10.230.130.1
CFS-SantaClaraIlheus-TMS;10.230.160.1
CCS-CataratasFozdoIguacu-TMS;10.230.176.1
CPO-MaxicinemasSantiago-TMS;10.230.184.1
CTO-CineTorresTorres-TMS;10.230.192.1
SMC-ParadigmaCineArteFlorianopolis-TMS;10.230.200.1
ROM-CavaliereOrlandiSocorro-TMS;10.230.208.1
CGJ-RitzJardinsVitoria-TMS;10.230.216.1
LRS-GloriaRuaSaoJoaodelRei-TMS;10.230.224.1
LRS-GloriaShoppingSaoJoaodelRei-TMS;10.230.226.1
LAC-CinemaxPirajuPiraju-TMS;10.230.232.1
LMC-ImigranteNovaPetropolis-TMS;10.230.240.1
MSG-CineSeteBage-TMS;10.230.248.1
AEP-CineLuxSaoLuizGonzaga-TMS;10.231.0.1
EPQ-CineItapolisItapolis-TMS;10.231.8.1
EEC-CineRitzGoiania-TMS;10.231.16.1
CDC-CineRitzConceicaoLinhares-TMS;10.231.24.1
VSC-CineRitzSulCachoeirodoItapemirim-TMS;10.231.32.1
CCE-CenterCineOliveiraOliveira-TMS;10.231.40.1
FCT-CineLiberoLuxardoBelem-TMS;10.231.48.1
CME-CineMendesItanhaem-TMS;10.231.64.1
VPE-XaximCuritiba-TMS;10.231.72.1
ECC-EstacaodoCafeParaMinas-TMS;10.231.80.1
CGO-CineVeredasMuriae-TMS;10.231.88.1
UVC-UltravisaoPocosdeCaldas-TMS;10.231.104.1
SCL-CineDriveinBrasilia-TMS;10.231.112.1
ECE-CineCompanyPresidenteEpitacio-TMS;10.231.120.1
CEX-CineEmbaixadorGramado-TMS;10.231.128.1
CDN-CineDunasCassinoRioGrande-TMS;10.231.144.1
CTG-CineTeatroGloboTresPassos-TMS;10.231.152.1
CTG-SantaRosaSantaRosa-TMS;10.231.154.1
CTG-PalmeiraDasMissoesPalmeraDasMissoes-TMS;10.231.156.1
CNL-PortalSulGoiania-TMS;10.231.162.1
CNL-LondrinaRoyalLondrina-TMS;10.231.164.1
CNL-PontaGrossaTotalPontaGorssa-TMS;10.231.166.1
CNL-LuzianiaLuziania-TMS;10.231.168.1
CNL-PalmasPalmas-TMS;10.231.170.1
CNL-BananaGoiania-TMS;10.231.172.1
CNL-AraguaiaGoiania-TMS;10.231.176.1
CNL-CatalaoCatalao-TMS;10.231.178.1
CNL-ShoppingFarolMaceio-TMS;10.231.182.1
JBA-CineQuixadaQuixada-TMS;10.231.192.1
JBA-CineFranciscoLucenaLimoeiroDoNorte-TMS;10.231.194.1
UEC-CinePrimeAnapolis-TMS;10.231.208.1
CGN-GuionCenterCinemasPortoAlegre-TMS;10.231.224.1
MCM-CineItaimPaulistaSaoMiguelPaulista-TMS;10.231.232.1
JPA-CineArtePelotasPelotas-TMS;10.231.240.1
ECV-CineVotuporangaVotuporanga-TMS;10.231.248.1
AVC-CineMuseudaRepublicaRiodeJaneiro-TMS;10.240.0.1
AVC-CineSantaTeresaRioJaneiro-TMS;10.240.8.1
CMS-CineMococaMococa-TMS;10.240.16.1
MUL-CineSetimaArtePaderneiras-TMS;10.240.32.1
RSP-StarCineTocantinsShoppingImperatriz-TMS;10.240.40.1
TDB-CentroCulturalJoaoBracksManhuacu-TMS;10.240.56.1
